city,location,mean,std,count,volatility
Karachi,Defence Garden,13932285.714285715,12922785.054756138,7,0.9275423516118058
Karachi,Defence View Society,10324508.241758242,14282391.211155616,182,1.38334832775758
Karachi,Delhi Colony,3908704.761904762,3697014.4709663778,105,0.9458413198659638
Karachi,Dhabeji,12510000.0,17663527.39403996,2,1.411952629419661
Karachi,Diamond City,9973684.210526315,8367253.771251033,19,0.8389330957982566
Karachi,Dr Daud Pota Road,18750000.0,16617009.357883867,2,0.8862404990871395
Karachi,Erum Villas,5000000.0,,1,0.0
Karachi,Etawa Society,14967857.142857144,5378217.629263887,28,0.3593178086838197
Karachi,Falaknaz Dynasty,3666666.6666666665,3118225.991382493,3,0.8504252703770436
Karachi,Falaknaz Presidency,8202727.2727272725,4173159.339692036,22,0.5087526624915483
Karachi,Falcon Complex Faisal,82630357.14285715,44253588.66214154,14,0.5355609027035044
Karachi,Fazaia Housing Scheme,7369633.333333333,4884815.395836023,180,0.6628301809455952
Karachi,Federal B Area,12359073.070607554,17026517.480662312,2436,1.377653274107984
Karachi,Frere Town,19077463.302752294,17670494.993863076,218,0.926249717451364
Karachi,Gadap Road,4500000.0,,1,0.0
Karachi,Gadap Town,7634010.661837339,8377463.52686417,3037,1.09738693040388
Karachi,Garden West,7386907.657657658,5441948.431825406,222,0.7367018357382599
Karachi,Gizri,7109658.416666667,7847980.328528034,120,1.1038477334059498
Karachi,Gizri Road,12369333.333333334,17025265.01907377,12,1.376409266390571
Karachi,Gobal Town,6500000.0,,1,0.0
Karachi,Golimar,8530232.558139535,4701647.881516849,43,0.5511746425987581
Karachi,Goth Ibrahim Haidri,12000000.0,,1,0.0
Karachi,Gujjar Chowk,10250000.0,6717514.421272201,2,0.6553672606119221
Karachi,Gulberg Town,11475793.103448275,14020859.429840276,145,1.2217769441684385
Karachi,Gulistan-e-Jauhar,11850434.745788667,13029495.419730896,5877,1.0994951408311189
Karachi,Gulistan-e-Malir,5750000.0,353553.39059327374,2,0.061487546190134565
Karachi,Gulshan-E-Faisal,125000.0,,1,0.0
Karachi,Gulshan-e-Amin,6165000.0,3657338.513181409,5,0.5932422568015262
Karachi,Gulshan-e-Areesha,5764200.0,7423636.377589265,10,1.2878866759635794
Karachi,Gulshan-e-Ghazian,4000000.0,,1,0.0
Karachi,Gulshan-e-Iqbal Town,17174316.64170175,27414173.8393,4513,1.5962308376645613
Karachi,Gulshan-e-Jami,20000000.0,,1,0.0
Karachi,Gulshan-e-Malir,2883250.0,3316526.6343972976,4,1.1502736961405697
Karachi,Gulshan-e-Millat,7762500.0,3901716.6551587083,8,0.5026366061396081
Karachi,Gulshan-e-Umair,9007500.0,5998907.539433048,4,0.6659902902506853
Karachi,Gulshan-e-Usman Housing Society,10050000.0,1919056.4811327928,10,0.19095089364505402
Karachi,Guru Mandir Chorangi,10395692.307692308,8841614.703440914,13,0.8505075411763148
Karachi,Hassan Goth,5185714.285714285,12899544.246144582,14,2.4875154193667237
Karachi,Hawks Bay Scheme 42,14200000.0,17547839.373172604,4,1.2357633361389158
Karachi,Hill Park,22065696.42857143,23108470.103106543,56,1.047257682435298
Karachi,Hoshang Road,17000000.0,,1,0.0
Karachi,Hub River Road,9250000.0,4666369.038128039,6,0.5044723284462744
Karachi,Humaira Town,9500000.0,,1,0.0
Karachi,I. I. Chundrigar Road,7266666.666666667,4100406.4839151413,3,0.5642761216396983
Karachi,Intelligence Colony,6066666.666666667,2759226.9448766503,3,0.4548176282763709
Karachi,Jamaluddin Afghani Road,7535000.0,10557104.243115155,2,1.40107554653154
Karachi,Jamshed Road,9248943.181818182,8177945.71390703,176,0.8842032601068902
Karachi,Jamshed Town,30614759.31612003,51394902.2748183,1433,1.6787622513745064
Karachi,Javed Bahria Coopretive Housing Society,24511666.666666668,24236190.053994324,3,0.9887614083359348
Karachi,Jinnah Avenue,12374550.505050505,8417210.937385455,198,0.6802033685142813
Karachi,KDA Scheme 1,105782240.0,210360013.7195837,100,1.9886137192744613
Karachi,Kamran Chowrangi,11647368.421052631,4814488.368000699,19,0.41335417529151963
Karachi,Karachi Golf City,4950000.0,,1,0.0
Karachi,Karachi Motorway,8417391.304347826,5014039.577563733,23,0.5956761894832947
Karachi,"Karachi, Sindh",12000000.0,,1,0.0
Karachi,Kashmir Colony,5672727.2727272725,4118516.94402024,11,0.7260206151317731
Karachi,Kashmir Road,32869722.222222224,48825937.85347335,18,1.4854381038992661
Karachi,Kemari Town,24435714.285714287,65117971.13574074,14,2.664868739843234
Karachi,Khalid Bin Walid Road,21234195.40229885,17466125.70196212,174,0.822547093075691
Karachi,Khaliq-uz-Zaman Road,36450000.0,31317361.684170377,8,0.8591868774806688
Karachi,Khayaban-e-Ittehad Road,26631576.923076924,49570275.64109206,26,1.8613346023133233
Karachi,Khuda Ki Basti,2756250.0,1555621.5263788726,16,0.5643978326998177
Karachi,Khudadad Colony,8035000.0,8840586.385928188,18,1.100259662218816
Karachi,Korangi,7036738.554216867,9906176.439986942,830,1.4077795222405305
